"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26"
"analista","asistente","cliente","logística","sistemas","desarrollo","excel","calidad","sistemas","ventas","servicio","mantenimiento","informática","ventas","entrevista","administración","procesos","laboratorio","seguridad","comunicación","consultor","mantenimiento","industrial","eléctricos","proyectos","gestión"
"sistemas","seguimiento","atención","almacén","informática","proyectos","asistente","jefe","ciencias","financieros","cliente","mecánica","sistemas","comercial","liderazgo","industrial","administración","control","industrial","orientación","relaciones","tecnico","supervisor","electricista","obra","procesos"
"programador","elaboración","ventas","compras","electrónica","sistemas","office","productos","comunicación","vendedor","administración","mecánico","docente","marketing","supervision","analista","industrial","dinámico","gestión","presión","ventas","operaciones","coordinador","sistemas","obras","procedimientos"
"sql","apoyo","office","industrial","computación","implementación","informática","control","económicas","negocio","contabilidad","electricidad","computación","industrial","tecnicos","economía","administrador","proactivo","ocupacional","liderazgo","proyectos","responsable","operaciones","instalación","autocad","controlar"
"informática","información","computación","administración","windows","gestión","computación","cliente","electrónica","desarrollar","cobranza","electrónica","servicio","ejecutivo","ventas","contabilidad","gestión","calidad","ambiental","jefe","productos","office","control","instalaciones","costos","coordinar"
"server","reportes","administración","distribución","comunicaciones","información","word","producto","responsabilidad","industrial","economía","industrial","dinámicos","administración","secundaria","asesor","control","análisis","jefe","proactividad","interpersonales","windows","gestión","eléctricas","project","supervisar"
"programación","control","servicio","inventarios","operativos","diseño","microsoft","iso","técnica","asignados","comercial","eléctrica","desarrollo","supervisor","presion","marketing","asistente","revisar","iso","cliente","análisis","ms","planta","seguridad","ms","asegurar"
"java","gerencia","personas","control","comunicación","negocio","administración","gestión","gestión","funcionario","gestor","planta","titulado","comerciales","productividad","excel","office","apoyo","supervisor","industrial","desarrollo","procedimientos","responsable","contar","presupuestos","seguimiento"
"visual","documentos","sistemas","coordinar","presión","aplicaciones","power","procesos","administrativas","planificación","atención","supervisor","personas","productos","personas","finanzas","auditoría","comprometido","sistemas","planificación","comunicación","electricista","office","medición","diseño","elaborar"
"análisis","elaborar","informática","almacenes","configuración","elaboración","point","aseguramiento","facilidad","economía","industrial","maquinaria","proactivos","jefe","agua","office","gestion","química","titulado","office","información","productos","proactivo","planos","titulado","políticas"
"computación","informes","información","proveedores","cliente","sap","industrial","servicio","proactivo","contabilidad","asesor","reparación","menos","asesor","responsable","comercial","gestionar","supervisor","normas","tolerancia","comerciales","elementos","procesos","mantenimiento","colegiado","indicadores"
"oracle","administrativo","productos","jefe","tecnico","documentación","sistemas","supervisor","informática","gestión","orientación","preventivo","participado","office","copia","planeamiento","contabilidad","industrial","riesgos","responsabilidad","sap","presión","química","tableros","arquitectura","ejecutar"
"mysql","administración","comercial","productos","office","usuarios","presión","bpm","contables","ética","financiero","técnica","profesor","masivo","proactivo","fidelización","sap","operaciones","minas","iniciativa","desarrollar","licencia","calidad","propias","gestión","seguridad"
"desarrollo","documentación","promotor","despacho","red","desarrollar","auxiliar","elaborar","presión","presencial","cobranzas","plantas","ejecución","consumo","marketing","gerente","contratos","proactiva","proyectos","negociación","técnica","administración","ambiental","eléctrico","office","mejora"
"titulado","apoyar","ejecutivo","controlar","servidores","pruebas","ms","normas","personas","producto","contar","correctivo","aprendizaje","facilidad","pueden","titulado","ms","correcciones","prevención","administración","personas","electrónico","titulado","electricidad","ejecución","participar"
"diseño","excel","impresión","operaciones","usuarios","elaborar","responsable","agrícola","verbal","productos","productos","taller","atención","retail","comunicación","jefe","proyectos","comprometida","especialización","relaciones","iniciativa","red","plantas","cableado","elaboración","desarrollo"
"basic","coordinación","manager","abastecimiento","instalación","gestionar","proactivo","riego","mecánica","administración","desarrollo","máquinas","consultora","desarrollo","asertiva","psicología","liquidaciones","operadores","higiene","compromiso","planificación","electronica","excel","motores","técnica","gerencia"
"jquery","análisis","promotores","asistente","cableado","analista","responsabilidad","mecánica","cctv","microempresa","contratos","industriales","título","palabra","office","financiero","produccion","armado","colegiado","análisis","asesor","operario","industrias","lectura","supervisión","riesgos"
"lenguaje","industrial","encargo","gestión","servicio","tecnologías","comunicación","sistemas","organizado","tarjetas","realización","jefe","mantenimiento","comunicación","coordinar","especialización","elaborar","gráfica","maestría","interpersonales","establecer","pedidos","análisis","industrial","supervisor","calidad"
"services","revisión","atencion","responsable","orientación","seguimiento","administrador","fabricación","office","secundaria","información","soldadura","académico","administrativas","desarrollo","ejecutivos","excel","atención","office","orientado","presentaciones","interés","alimentarias","control","jefe","control"
