Gerente	nccs	B-JOB
comercial	aqcs	I-JOB
-	fg	O
Equipos	ncmp	B-AREA
de	sp	I-AREA
instrumentación	ncfs	I-AREA
analítica	aqfs	I-AREA
.	fp	O

Funciones	ncfp	O
:	fd	O

Velar	vmn	B-FUN
por	sp	I-FUN
el	da0ms	I-FUN
buen	aqms	I-FUN
funcionamiento	ncms	I-FUN
y	cc	I-FUN
el	da0ms	I-FUN
desarrollo	ncms	I-FUN
del	sp	I-FUN
área	ncfs	I-FUN
de	sp	I-FUN
ventas	ncfp	I-FUN
.	fp	O

Velar	vmn	B-FUN
por	sp	I-FUN
el	da0ms	I-FUN
buen	aqms	I-FUN
funcionamiento	ncms	I-FUN
y	cc	I-FUN
desarrollo	ncms	I-FUN
del	sp	I-FUN
área	ncfs	I-FUN
de	sp	I-FUN
servicio	ncms	I-FUN
técnico	aqms	I-FUN
.	fp	O

Elaborar	vmn	B-FUN
reportes	ncmp	I-FUN
financieros	aqmp	I-FUN
y	cc	I-FUN
situacionales	ncmp	I-FUN
mensuales	aqcp	I-FUN
a	sp	I-FUN
la	da0fs	I-FUN
corporación	ncfs	I-FUN
.	fp	O

Velar	vmn	B-FUN
por	sp	I-FUN
la	da0fs	I-FUN
adecuada	aqfs	I-FUN
planificación	ncfs	I-FUN
estratégica	aqfs	I-FUN
,	fc	I-FUN
para	sp	I-FUN
la	da0fs	I-FUN
venta	ncfs	I-FUN
de	sp	I-FUN
productos	ncmp	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
empresa	ncfs	I-FUN
.	fp	O

Garantizar	vmn	B-FUN
el	da0ms	I-FUN
desarrollo	ncms	I-FUN
y	cc	I-FUN
cierre	ncms	I-FUN
de	sp	I-FUN
negocios	ncmp	I-FUN
.	fp	O

Liderar	vmn	B-FUN
las	da0fp	I-FUN
áreas	ncfp	I-FUN
bajo	sp	I-FUN
su	dp3cs	I-FUN
cargo	ncms	I-FUN
.	fp	O

Ofrecer	vmn	B-FUN
una	di0fs	I-FUN
comunicación	ncfs	I-FUN
continua	aqfs	I-FUN
ante	sp	I-FUN
los	da0mp	I-FUN
clientes	nccp	I-FUN
y	cc	I-FUN
el	da0ms	I-FUN
personal	ncms	I-FUN
de	sp	I-FUN
la	da0fs	I-FUN
empresa	ncfs	I-FUN
,	fc	O
y	cc	O
tomar	vmn	B-FUN
decisiones	ncfp	I-FUN
importantes	aqcp	I-FUN
.	fp	O

La	da0fs	O
empresa	ncfs	O
ofrece	vmi	O
al	sp	O
candidato	ncms	O
seleccionado	aqms	O
:	fd	O

Requerimientos	ncmp	O
:	fd	O

Mínimo	rg	O
contar	vmn	O
con	sp	O
(	fpa	O
7	z	O
)	fpt	O
años	ncmp	O
de	sp	O
experiencia	ncfs	O
laboral	aqcs	O
comprobada	vmp	O
,	fc	O
ocupando	vmg	O
posiciones	ncfp	O
similares	aqcp	O
o	cc	O
comerciales	aqcp	B-AREA
,	fc	O
dentro	rg	O
de	sp	O
empresas	ncfp	O
similares	aqcp	O
.	fp	O

Profesional	aqcs	O
con	sp	O
el	da0ms	O
grado	ncms	O
de	sp	O
bachiller	ncms	O
en	sp	O
administración	np00	B-CARR
de	sp	I-CARR
empresas	np00	I-CARR
,	fc	O
ingeniería	np00	B-CARR
industrial	np00	I-CARR
,	fc	O
ingeniería	np00	B-CARR
agro	np00	I-CARR
industrial	np00	I-CARR
o	cc	O
carreras	ncfp	B-CARR
afines	aqcp	I-CARR
.	fp	O

Conocimiento	ncms	O
:	fd	O
introducción	ncfs	B-FUN
y	cc	I-FUN
posicionamiento	ncms	I-FUN
de	sp	I-FUN
marcas	ncfp	I-FUN
.	fp	O
conocimiento	ncms	O
de	sp	O
la	da0fs	O
industria	ncfs	B-AREA
metalúrgica	aqfs	I-AREA
,	fc	O
refinerías	ncfp	B-AREA
,	fc	O
petroquímica	ncfs	B-AREA
,	fc	O
de	sp	O
alimentos	ncmp	B-AREA
,	fc	O
del	sp	O
medio	dn0ms	B-AREA
ambiente	ncms	B-AREA
,	fc	O
universidades	ncfp	B-AREA
,	fc	O
centros	ncmp	B-AREA
de	sp	I-AREA
investigación	ncfs	I-AREA
,	fc	O
aeroespacial	aqcs	B-AREA
,	fc	O
entre	sp	O
otras	pi0fp	O
.	fp	O
conocimiento	ncms	O
sobre	sp	O
equipos	ncmp	B-REQ
de	sp	I-REQ
bombeo	ncms	I-REQ
,	fc	O
instrumentación	ncfs	B-REQ
analítica	aqfs	I-REQ
,	fc	O
y	cc	O
automatización	ncms	B-REQ
industrial	aqcs	I-REQ
.	fp	O

Manejo	ncms	O
de	sp	O
herramientas	ncfp	O
ms	np00	B-REQ
office	np00	I-REQ
a	sp	O
nivel	ncms	O
avanzado	aqms	O
.	fp	O

Dominio	ncms	O
del	sp	O
idioma	ncms	O
inglés	np00	B-REQ
a	sp	O
nivel	ncms	O
intermedio	aqms	O
.	fp	O

