"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26"
"calidad","comercial","negocio","tecnico","ventas","produccion","tecnico","proyectos","creditos","productos","asistente","construccion","sistemas","almacen","seguridad","ventas","proyectos","capacitacion","seguridad","presion","mantenimiento","credito","mantenimiento","administracion","tecnico","cliente"
"productos","ventas","gestion","instalacion","productos","operaciones","mantenimiento","procesos","contabilidad","control","industrial","seguridad","desarrollo","tecnico","gestion","marketing","obra","consumo","tecnico","comunicacion","tecnico","seguridad","tecnico","gestion","sistemas","atencion"
"control","industrial","microempresa","sistemas","comercial","control","electricista","gestion","evaluacion","desarrollo","administracion","ambiental","sql","inventarios","industrial","productos","obras","supervisor","jefe","organizacion","mecanica","creditos","industrial","gerencia","informatica","administracion"
"gestion","cliente","revisar","contar","tecnicos","industrial","electricos","sistemas","analista","administracion","apoyo","mineria","programador","despacho","ocupacional","cliente","elaboracion","masivo","agua","liderazgo","mecanico","documentacion","planta","control","computacion","servicio"
"analisis","comerciales","politicas","electronica","personas","jefe","electricidad","informacion","economia","calidad","excel","obras","analista","auxiliar","riesgos","comerciales","construccion","seguridad","operador","proactivo","taller","administracion","industriales","jefe","configuracion","tecnico"
"industrias","productos","activos","cableado","administracion","supervisar","electricas","analista","administracion","verificar","seguimiento","proyectos","programacion","recepcion","normas","ingles","autocad","ventas","mantenimiento","orientacion","maquinaria","cliente","mecanica","procesos","servicio","informatica"
"contratacion","ejecutivo","comerciales","configuracion","contratacion","coordinar","preventivo","implementacion","microfinanzas","elaboracion","elaboracion","colegiado","informatica","excel","procedimientos","comunicacion","presupuestos","psicologia","sistemas","contratacion","reparacion","consultas","produccion","contratos","electronica","computacion"
"produccion","administracion","contabilidad","estructurado","industrial","controlar","contratacion","desarrollo","cobranza","asistente","compras","obra","tecnico","control","iso","comercial","costos","industrial","practicas","responsabilidad","repuestos","comercial","control","administrador","usuarios","office"
"aseguramiento","marketing","gestionar","ip","credito","procesos","electrico","analisis","gestionar","responsable","proveedores","gestion","server","administracion","supervisor","tecnicas","control","firegroup","industrial","ingles","tecnicos","industrial","mecanico","industrial","cliente","contabilidad"
"quimica","seguimiento","morosidad","puesta","tarjetas","gestion","instalaciones","negocio","financiero","revisar","informacion","minero","java","office","ambiental","desarrollo","diseno","coaching","instalaciones","habilidades","servicio","consumo","plantas","elaboracion","tecnicos","tecnicos"
"alimentarias","servicio","industrial","networking","tecnico","almacen","correctivo","sap","financieras","industrial","reportes","operaciones","aplicaciones","asistente","sistemas","administracion","ejecucion","sst","laboratorio","iniciativa","cliente","reclamos","electricidad","controlar","windows","informacion"
"agroindustrial","gestion","administracion","medicion","presion","supervisor","tableros","ejecucion","captacion","mercaderia","ingles","contratacion","oracle","informatica","seguimiento","industrial","contratacion","marketing","tecnicos","industrial","preventivo","cuentas","maquinas","contabilidad","hardware","comunicacion"
"laboratorio","desarrollar","desarrollar","electronico","facilidad","calidad","sistemas","calidad","calidad","apoyo","office","minas","analisis","almacenes","coordinar","office","arquitectura","ejecutar","calidad","office","pesada","seguimiento","electronica","elaborar","instalacion","sistemas"
"ingles","tecnico","asegurar","mantenimiento","cliente","distribucion","electronico","servicio","industrial","produccion","compra","titulado","diseno","material","implementacion","informacion","project","personas","monitoreo","responsable","electrica","cuadre","aire","finanzas","computo","capacitacion"
"sistemas","jefe","analista","telefonia","promotor","administracion","operaciones","elaborar","estrategias","perforacion","control","supervisor","visual","tecnicos","prevencion","desarrollar","ms","formacion","maquinas","proactividad","correctivo","procedimiento","procesos","supervisar","impresoras","operaciones"
"bpm","ingles","funcionario","comunicaciones","asesor","garantizar","energia","industrial","aprobacion","pedidos","gestion","mina","computacion","computacion","supervision","consultor","electrica","responsabilidad","cctv","compromiso","supervisor","absolver","contratacion","gerente","comunicaciones","contratacion"
"iso","desarrollo","seguimiento","informatica","secundaria","almacenes","red","ingles","practica","guias","analisis","jefe","contratacion","distribucion","acciones","asesor","estructuras","supervisar","capacitacion","planificacion","mecanicos","solicitudes","lider","responsable","mantenimiento","ciencias"
"procesos","office","ventas","marcha","vendedor","indicadores","operacion","funcional","incrementar","personas","ordenes","regimen","informacion","orientacion","elaborar","diseno","calidad","gestionar","fisica","orientado","motores","atender","acondicionado","coordinar","contratacion","lider"
"haccp","negocio","economia","tecnicos","lider","asegurar","electronica","tecnologia","efectivas","reporte","administrativo","lider","ingles","industrial","calidad","contar","ingles","compensaciones","informacion","tolerancia","reparaciones","contratacion","automatizacion","desarrollo","comunicacion","vocacion"
"desarrollo","contar","banca","red","palabra","cliente","tecnicos","seguimiento","poner","presion","cliente","carreteras","lenguaje","documentos","control","tecnico","office","capacitador","contratacion","relaciones","contratacion","atencion","sistemas","coordinacion","pcs","orientacion"
