"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26"
"almacén","asistente","comercial","coordinar","proyectos","supervisor","informática","procesos","analista","planificación","administración","mantenimiento","sistemas","administrador","proactivo","jefe","desarrollo","calidad","gestión","orientación","ventas","atención","operaciones","eléctricos","obra","seguridad"
"administración","excel","ventas","gestión","ms","técnica","computación","gestión","sistemas","ventas","contabilidad","mecánica","desarrollo","compras","responsable","industrial","planeamiento","control","especialización","comunicación","marketing","cliente","distribución","instalación","autocad","ambiental"
"inventarios","administración","ejecutivo","elaborar","gestión","junior","sistemas","control","sql","código","economía","mecánico","programación","proveedores","presión","administración","negocio","química","sistemas","presión","consultor","servicio","servicio","electricista","obras","industrial"
"logística","microsoft","industrial","controlar","sap","office","electrónica","procedimientos","programador","ejecutivo","industrial","electricidad","java","administración","orientado","office","análisis","industrial","titulado","responsabilidad","consumo","tecnico","verificar","sistemas","proyectos","ocupacional"
"industrial","industrial","productos","supervisar","office","gestor","windows","información","server","financieros","analista","eléctrica","diseño","industrial","dinámico","industriales","proyectos","planta","coordinador","proactividad","masivo","operaciones","operación","instalaciones","costos","gestión"
"productos","office","comerciales","indicadores","project","titulado","comunicaciones","mejora","informática","orientación","asesor","electrónica","aplicaciones","logística","comunicación","psicología","elaboración","laboratorio","iso","cliente","comunicación","mantenimiento","información","eléctricas","presupuestos","normas"
"almacenes","word","administración","gestionar","infraestructura","diseñador","office","apoyar","visual","administración","financiero","industrial","programador","compra","liderazgo","excel","toma","industrias","industrial","liderazgo","administración","red","supervisar","contar","diseño","riesgos"
"asistente","power","marketing","gerencia","pmi","regional","operativos","seguimiento","análisis","vendedor","finanzas","reparación","título","seguimiento","entrevista","titulado","decisiones","apoyo","maestría","compromiso","retail","office","establecidos","medición","elaboración","prevención"
"excel","point","asesor","asegurar","manager","perforación","servidores","elaboración","oracle","desarrollar","fidelización","planta","informática","coordinación","microsoft","titulados","apoyo","productos","operaciones","iniciativa","campañas","ms","correcto","mantenimiento","titulado","higiene"
"despacho","administrativo","cliente","planificar","comunicación","qa","configuración","implementación","titulado","derecho","ciencias","maquinaria","docente","cobranzas","industrial","ingles","productos","bpm","gerente","tolerancia","administrativas","sistemas","flota","propias","colegiado","incidentes"
"mercadería","contabilidad","office","responsable","implementación","supervisión","ms","sistemas","microsoft","requeridas","negocio","eléctrico","mysql","sap","office","relaciones","información","alimentarias","administración","relaciones","comprometido","windows","controlar","capacitador","arquitectura","ambientales"
"pedidos","auxiliar","servicio","administrar","sistemas","administradores","operador","industrial","programación","asignados","banca","preventivo","titulado","exterior","ordenado","legislación","implementación","análisis","diplomado","office","agrícola","procedimientos","cliente","tableros","ejecución","procedimientos"
"control","documentos","facilidad","ejecutar","inversión","personas","hardware","indicadores","basic","secundaria","funcionario","plantas","lenguaje","facturación","personas","administradora","desarrollar","iso","colegiado","interpersonales","productos","licencia","control","cableado","supervisión","inspecciones"
"stock","apoyo","palabra","desarrollar","energía","manuales","xp","informes","services","deberán","análisis","correctivo","tecnologías","cliente","supervision","titulo","seguimiento","produccion","minero","análisis","proactiva","dinámicos","coordinar","control","planos","ssoma"
"guías","gerencia","promotor","cliente","desarrollo","mineras","ofimática","desarrollo","económicas","industrial","ejecutivos","máquinas","jquery","excel","organizado","jefatura","usuario","aseguramiento","minas","negociación","agrónoma","electrónica","entrega","electrónico","control","estándares"
"verificación","elaboración","contar","dirigir","generación","innovadoras","outlook","auditoría","estadística","comercial","bancaria","taller","oracle","órdenes","asertiva","supervisora","necesidades","office","integrados","dinamismo","comerciales","elementos","seguimiento","dinámica","project","coordinador"
"responsable","dinámicas","información","organizar","personas","trabajado","usuarios","elaborar","asp","frustración","financieras","industriales","html","control","tecnicos","hotelería","creación","inspección","análisis","habilidades","canal","electrónico","funcionamiento","eléctrico","civiles","participar"
"reporte","contable","comunicación","políticas","metodología","retos","resolución","participar","investigación","productos","cobranza","repuestos","pruebas","personas","honesto","motivación","habilidades","revisar","habilitado","empatía","desarrollo","administrativos","cuenta","planos","estructuras","auxilios"
"distribución","administrativa","representante","ejecución","crm","especializadas","cableado","excel","información","sistemas","microfinanzas","tecnico","personas","documentación","desarrollo","ofimatica","contar","normas","gestion","facilidad","riego","implementación","velar","puesta","office","preventivas"
"sap","información","seguimiento","garantizar","ingles","lograr","mesa","reportes","ciencias","presencial","agronomía","mecanico","informatica","productos","activo","turismo","especialización","plantas","erp","flexibilidad","distribuidora","actitud","reportes","ubicación","elaborar","minas"
