"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26"
"proactivo","orientación","análisis","ventas","sistemas","eléctricos","seguridad","proyectos","jefe","ventas","mantenimiento","administración","logística","supervisor","personas","cliente","operaciones","desarrollo","información","asistente","seguridad","procesos","calidad","mecánica","coordinar","sistemas"
"responsable","comunicación","elaboración","comercial","informática","mantenimiento","industrial","obra","industrial","negocio","supervisor","analista","almacén","excel","docente","atención","office","sistemas","seguimiento","administración","gestión","gestión","control","mantenimiento","supervisar","analista"
"presión","presión","gestión","marketing","computación","instalación","riesgos","obras","administración","vendedor","planta","contabilidad","administración","word","informática","servicio","mantenimiento","implementación","elaborar","industrial","ambiental","proyectos","productos","mecánico","controlar","programador"
"comunicación","responsabilidad","analista","ejecutivo","electrónica","electricista","control","autocad","proyectos","financieros","mecánica","industrial","compras","industrial","computación","administración","ms","información","cliente","office","industrial","sistemas","química","eléctrica","procesos","sql"
"liderazgo","proactividad","control","productos","windows","sistemas","ocupacional","diseño","gestión","productos","jefe","economía","industrial","office","desarrollo","informática","tecnico","proyectos","documentos","excel","sistemas","calidad","laboratorio","electricidad","jefe","informática"
"dinámico","liderazgo","excel","industrial","comunicaciones","instalaciones","normas","presupuestos","especialización","desarrollar","servicio","asesor","inventarios","administrador","office","office","procedimientos","personas","apoyo","auxiliar","supervisor","mejora","industrias","electrónica","gestión","programación"
"industrial","compromiso","reportes","comerciales","operativos","eléctricas","gestión","arquitectura","coordinador","administración","repuestos","ciencias","control","microsoft","titulado","computación","windows","aplicaciones","entrega","administrativo","iso","iso","producto","industrial","asegurar","server"
"entrevista","tolerancia","costos","administración","office","eléctrico","prevención","colegiado","titulado","personas","taller","marketing","distribución","power","digitador","orientación","red","pruebas","documentación","contabilidad","titulado","industrial","alimentarias","técnica","operaciones","java"
"orientado","iniciativa","planeamiento","asesor","tecnico","medición","supervisor","ms","gerente","planificación","preventivo","fidelización","asistente","ventas","impresión","contabilidad","cliente","usuarios","gerencia","operaciones","minas","implementación","industrial","planta","elaborar","oracle"
"ordenado","relaciones","seguimiento","cliente","configuración","contar","calidad","project","sap","economía","funcionamiento","finanzas","almacenes","point","colocar","comercial","servicio","ejecución","reportes","contable","ocupacional","procedimientos","administración","industriales","gestionar","visual"
"office","planificación","industrial","comunicación","ms","electricidad","auditoría","costos","procesos","sistemas","técnica","ejecutivos","proveedores","ms","agrícola","ventas","supervisor","servicio","coordinar","computación","integrados","project","análisis","plantas","desarrollar","computación"
"ventas","cliente","indicadores","office","servidores","control","participar","titulado","maestría","análisis","correctivo","comercial","operaciones","administración","deberán","economía","licencia","diseño","contratos","administrativa","colegiado","información","presión","maquinaria","evaluar","desarrollo"
"facilidad","office","información","contar","operador","electrónico","procedimientos","office","control","comercial","flota","financiero","excel","consumo","ingles","gestor","electrónico","negocio","elaboración","gerencia","capacitador","pmi","bpm","mecanico","responsable","análisis"
"proactiva","interpersonales","administración","consultor","técnica","propias","incidentes","elaboración","planificación","requeridas","ejecutar","económicas","sap","marketing","código","cobranza","electricista","usuario","registro","secretaria","especialización","desarrollo","responsable","autocad","políticas","titulado"
"responsabilidad","negociación","apoyo","desarrollo","xp","cableado","coordinador","ejecución","análisis","asignados","supervisar","office","despacho","masivo","riego","promotor","elementos","desarrollar","apoyar","redacción","especialista","gestionar","pedidos","soldadura","indicadores","mysql"
"microsoft","análisis","informes","representante","hardware","reparación","seguimiento","supervisión","psicología","secundaria","cliente","ejecutivo","coordinación","jefe","profesor","dinámicos","administrativos","analista","gestionar","dinámicas","minero","costos","aseguramiento","tecnico","planificar","diseño"
"supervision","habilidades","finanzas","industriales","outlook","electrónica","inspecciones","planos","diplomado","industrial","principales","microfinanzas","exterior","administrativas","colocando","comunicación","produccion","tecnologías","control","ms","normas","ms","verificación","pesada","administrar","lenguaje"
"personas","orientado","analizar","ingles","red","tableros","revisar","técnica","sistemas","contabilidad","programas","titulados","erp","comprometido","agrónoma","facilidad","atención","documentación","coordinación","gestión","maestría","seguimiento","excel","electricista","gerencia","aplicaciones"
"marketing","empatía","financiero","negocio","administrador","planos","apoyo","civiles","título","presencial","máquinas","contables","inventario","comunicación","deben","sistemas","energía","análisis","compra","microsoft","higiene","seguridad","asistente","reparación","proponer","basic"
"iniciativa","dinamismo","economía","negociación","estructurado","motores","ambiental","estructuras","consultor","presión","reparación","comunicación","recepción","project","empresarial","microsoft","comerciales","contar","proveedores","legislación","responsabilidad","gestion","verificar","máquinas","dirigir","jquery"
