Practicante	nccs	O
de	sp	O
selección	ncfs	B-AREA
.	fp	O

Funciones	ncfp	O
:	fd	O

Publicación	ncfs	B-FUN
de	sp	I-FUN
perfiles	ncmp	I-FUN
en	sp	I-FUN
bolsas	ncfp	I-FUN
laborales	aqcp	I-FUN

Realización	ncfs	B-FUN
del	sp	I-FUN
filtro	ncms	I-FUN
curricular	aqcs	I-FUN

Apoyo	ncms	B-FUN
en	sp	I-FUN
realización	ncfs	I-FUN
de	sp	I-FUN
entrevistas	ncfp	I-FUN

Apoyo	ncms	B-FUN
en	sp	I-FUN
redacción	ncms	I-FUN
de	sp	I-FUN
informes	ncmp	I-FUN

Apoyo	ncms	B-FUN
en	sp	I-FUN
dinámicas	ncfp	I-FUN
grupales	aqcp	I-FUN

Coordinación	ncfs	B-FUN
de	sp	I-FUN
evaluaciones	ncfp	I-FUN
con	sp	I-FUN
clientes	nccp	I-FUN

Realización	ncfs	B-FUN
de	sp	I-FUN
referencias	ncfp	I-FUN
laborales	aqcp	I-FUN

Ubicación	ncfs	O
:	fd	O
Miraflores	np00	B-LUG

Requerimientos	ncmp	O
:	fd	O

Universitario	ncms	O
bachillerato	ncms	O
en	sp	O
psicología	np00	B-CARR
organizacional	np00	I-CARR
.	fp	O

Experiencia	ncfs	O
:	fd	O

En	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
recursos	ncmp	B-AREA
humanos	aqmp	B-AREA
con	sp	O
6	z	O
meses	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

Idioma	ncms	O

Español	np00	B-REQ
a	sp	O
nivel	ncms	O
avanzado	aqms	O

Manejo	ncms	O
de	sp	O
programas	ncmp	O
:	fd	O

Autocad	np00	B-REQ
a	sp	O
nivel	ncms	O
básico	aqms	O
.	fp	O

Funciones	ncfp	O
:	fd	O

Publicación	ncfs	B-FUN
de	sp	I-FUN
perfiles	ncmp	I-FUN
en	sp	I-FUN
bolsas	ncfp	I-FUN
laborales	aqcp	I-FUN

Realización	ncfs	B-FUN
del	sp	I-FUN
filtro	ncms	I-FUN
curricular	aqcs	I-FUN

Apoyo	ncms	B-FUN
en	sp	I-FUN
realización	ncfs	I-FUN
de	sp	I-FUN
entrevistas	ncfp	I-FUN

Apoyo	ncms	B-FUN
en	sp	I-FUN
redacción	ncfs	I-FUN
de	sp	I-FUN
informes	ncmp	I-FUN

Apoyo	ncms	B-FUN
en	sp	I-FUN
dinámicas	ncfp	I-FUN
grupales	aqcp	I-FUN

Coordinación	ncfs	B-FUN
de	sp	I-FUN
evaluaciones	ncfp	I-FUN
con	sp	I-FUN
clientes	nccp	I-FUN

Realización	ncfs	B-FUN
de	sp	I-FUN
referencias	ncfp	I-FUN
laborales	aqcp	I-FUN

Ubicacion	ncfs	O
:	fd	O
Miraflores	np00	B-LUG

