jefe	nc	B-JOB
comercial	adj	I-JOB
-	fg	O
clínica	np	B-ORG
de	sp	I-ORG
salud	np	I-ORG
del	sp	O
sector	nc	O
privado	adj	O

funciones	nc	O
:	fd	O

lugar	nc	O
de	sp	O
trabajo	nc	O
:	fd	O
lima	np	B-LUG
.	fp	O

formación	nc	O
académica	adj	O
:	fd	O
profesional	nc	O
universitario	adj	O
de	sp	O
administración	np	B-CARR
,	fc	O
ingeniería	np	B-CARR
y/o	cc	O
marketing	np	B-CARR
,	fc	O
con	sp	O
estudios	nc	O
de	sp	O
post	adj	B-REQ
-	fg	I-REQ
grado	nc	I-REQ
en	sp	O
gestión	nc	B-AREA
comercial	adj	I-AREA
de	sp	O
empresas	nc	O
de	sp	O
servicios	nc	O
.	fp	O

conocimientos	nc	O
específicos	adj	O
:	fd	O
conocimientos	nc	O
de	sp	O
estrategias	nc	B-REQ
comerciales	adj	I-REQ
,	fc	O
plan	nc	B-REQ
de	sp	I-REQ
ventas	nc	I-REQ
y	cc	O
plan	nc	B-REQ
de	sp	I-REQ
marketing	nc	I-REQ
.	fp	O

tiempo	nc	O
y	cc	O
tipo	nc	O
de	sp	O
experiencia	nc	O
en	sp	O
puesto	nc	O
similar	adj	O
:	fd	O
no	rn	O
menor	rg	O
de	sp	O
4	z	O
años	nc	O
.	fp	O

tiempo	nc	O
y	cc	O
tipo	nc	O
de	sp	O
experiencia	nc	O
laboral	adj	O
total	adj	O
:	fd	O
sólida	adj	O
experiencia	nc	O
en	sp	O
el	det	O
desempeño	nc	O
de	sp	O
puestos	nc	O
de	sp	O
gestión	nc	B-FUN
comercial	adj	I-FUN
de	sp	I-FUN
clínicas	nc	I-FUN
locales	nc	I-FUN
y/o	cc	I-FUN
transnacionales	adj	I-FUN
dirigidos	vmp	I-FUN
a	sp	I-FUN
través	adj	I-FUN
de	sp	I-FUN
diferentes	det	I-FUN
canales	nc	I-FUN
privados	adj	I-FUN
,	fc	I-FUN
que	pron	I-FUN
se	pron	I-FUN
encuentre	vms	I-FUN
familiarizado	vmn	I-FUN
con	sp	I-FUN
el	det	I-FUN
sector	nc	I-FUN
salud	nc	I-FUN
.	fp	O

idioma	nc	O
inglés	np	B-REQ
:	fd	O
intermedio	adj	O
.	fp	O

requerimientos	nc	O
:	fd	O

lugar	nc	O
de	sp	O
trabajo	nc	O
:	fd	O
lima	np	B-LUG
.	fp	O

formación	nc	O
académica	adj	O
:	fd	O
profesional	nc	O
universitario	adj	O
de	sp	O
administración	np	B-CARR
,	fc	O
ingeniería	np	B-CARR
y/o	cc	O
marketing	np	B-CARR
,	fc	O
con	sp	O
estudios	nc	O
de	sp	O
post	adj	B-REQ
-	fg	I-REQ
grado	nc	I-REQ
en	sp	O
gestión	nc	B-AREA
comercial	adj	I-AREA
de	sp	O
empresas	nc	O
de	sp	O
servicios	nc	O
.	fp	O

conocimientos	nc	O
específicos	adj	O
:	fd	O
conocimientos	nc	O
de	sp	O
estrategias	nc	B-REQ
comerciales	adj	I-REQ
,	fc	O
plan	nc	B-REQ
de	sp	I-REQ
ventas	nc	I-REQ
y	cc	O
plan	nc	B-REQ
de	sp	I-REQ
marketing	np	I-REQ
.	fp	O

tiempo	nc	O
y	cc	O
tipo	nc	O
de	sp	O
experiencia	nc	O
en	sp	O
puesto	nc	O
similar	adj	O
:	fd	O
no	rn	O
menor	rg	O
de	sp	O
4	z	O
años	nc	O
.	fp	O

idioma	nc	O
inglés	np	B-REQ
:	fd	O
intermedio	adj	O
.	fp	O

