"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26"
"cliente","mantenimiento","seguridad","gestion","sistemas","administracion","tecnico","tecnico","tecnico","mineria","jefe","administracion","creditos","calidad","obra","almacen","seguridad","diseno","tecnico","ventas","proyectos","comunicacion","tecnico","servicio","excel","administracion"
"atencion","tecnico","industrial","proyectos","desarrollo","gestion","office","contratacion","mantenimiento","seguridad","supervisar","asistente","evaluacion","produccion","proyectos","compras","capacitacion","mecanico","instalacion","comercial","sap","presion","sistemas","atencion","elaboracion","sistemas"
"ventas","mecanica","gestion","procesos","analista","negocio","documentos","electronica","operaciones","mina","coordinar","contabilidad","analista","control","obras","industrial","industrial","proyectos","contar","productos","desarrollo","liderazgo","informatica","formacion","asistente","tecnico"
"servicio","mecanico","ocupacional","sistemas","sql","contabilidad","informatica","tecnicos","red","construccion","gestion","credito","contabilidad","planta","construccion","proveedores","contratacion","electrica","sistemas","marketing","sistemas","orientacion","computacion","tecnico","apoyo","operaciones"
"tecnicos","industrial","ambiental","informacion","programador","financiero","computacion","electronico","operacion","maquinaria","controlar","industrial","administracion","productos","ejecucion","control","especialista","mecanica","mantenimiento","industrial","gestion","proactivo","configuracion","institucion","industrial","gestion"
"lider","electricidad","iso","implementacion","programacion","economia","cliente","capacitacion","cliente","pesada","procesos","cuentas","economia","industrial","presupuestos","inventarios","responsabilidad","autocad","electronica","cliente","personas","habilidades","windows","cliente","analisis","contabilidad"
"comunicacion","electricista","normas","analista","informatica","comerciales","auxiliar","responsable","atencion","contar","administracion","documentacion","gestionar","procesos","control","administracion","formacion","ingles","medicion","comerciales","negocio","responsabilidad","usuarios","docente","administracion","contratacion"
"tecnico","electricos","riesgos","calidad","java","financieros","tecnicos","computacion","servicio","compania","operaciones","cliente","microfinanzas","supervisor","elaboracion","productos","firegroup","elaboracion","cableado","ejecutivo","comunicacion","office","servicio","computacion","informacion","ciencias"
"administracion","preventivo","supervisor","organizacion","server","comercial","administracion","proactivo","office","minero","elaborar","creditos","calidad","analisis","costos","compra","coaching","contratacion","puesta","administracion","ingles","ingles","instalacion","informatica","reportes","agroindustrial"
"calidad","reparacion","procedimientos","analisis","aplicaciones","seguimiento","personas","tecnica","procedimientos","minas","asegurar","registro","industrial","laboratorio","colegiado","coordinar","persona","fabricacion","electronico","desarrollar","lider","responsable","electronica","vocacion","control","agricola"
"asesor","correctivo","higiene","desarrollo","oracle","industrial","operador","informatica","elementos","jefe","gerencia","productos","aprobacion","quimica","supervision","asistente","sistemas","electrico","instalaciones","masivo","crm","organizacion","comunicaciones","capacitacion","seguimiento","administrador"
"orientacion","planta","prevencion","control","analisis","desarrollar","excel","presion","ejecucion","responsable","servicio","tarjetas","captacion","jefe","ms","distribucion","sst","estructuras","tecnicos","consumo","corporacion","industrial","servidores","contratacion","gestion","industrial"
"personas","maquinas","sistemas","auditoria","diseno","cobranza","orientacion","personas","ms","gestion","procedimientos","contable","lider","producto","project","almacenes","compromiso","titulado","instrumentos","supervisor","manager","iniciativa","hardware","academica","office","economicas"
"usuario","industriales","contratacion","riesgos","visual","banca","recepcion","electricidad","energia","mineras","gestionar","elaboracion","estrategias","industrias","contratacion","ordenes","gestion","electricos","electricos","producto","empresariales","contratacion","operativos","aprendizaje","indicadores","plantas"
"sistemas","electrico","implementacion","administracion","tecnico","politicas","control","electricista","preventivo","perforacion","garantizar","consultas","practica","alimentarias","jefe","seguimiento","especialistas","office","configuracion","tecnico","procesos","tolerancia","mantenimiento","necesidades","analista","responsable"
"publico","instalaciones","inspecciones","ingles","informacion","revisar","impresion","documentado","administrativos","desarrollo","indicadores","efectuar","poner","insumos","tecnica","despacho","ejecutar","montaje","marcha","ingles","consultor","proactividad","computo","productos","ingles","tratamiento"
"capacitacion","electronica","ambientales","procedimientos","computacion","microempresa","lider","titulo","windows","mecanica","gerente","solicitudes","fidelizacion","bpm","arquitectura","mercaderia","ocupacional","arquitectura","propias","seguimiento","estrategia","planificacion","impresoras","tecnica","power","comunicacion"
"computacion","tecnicos","capacitacion","especializacion","pruebas","cobranzas","informacion","ganas","supervisor","unidad","calidad","reclamos","incrementar","aseguramiento","titulado","coordinacion","contar","responsable","estructurado","estrategias","habilidades","desarrollo","cliente","desarrollo","point","contables"
"consultor","sistemas","verificar","industrial","tecnologia","lider","expedientes","colocar","comerciales","desarrollar","administrar","consumo","financiero","haccp","autocad","stock","proactiva","energia","networking","tecnicas","industria","orientado","comunicacion","office","word","administrativas"
"freelance","motores","incidentes","negocio","documentacion","productos","documentacion","tecnicas","flota","tecnicas","planificar","operaciones","efectivas","gestion","calidad","operaciones","instructores","electricista","control","contar","lideres","supervision","linux","ciencias","microsoft","electronico"
