Coordinador	nc	B-JOB
Senior	np	I-JOB
de	sp	I-JOB
Procesos	nc	I-JOB

Misión	nc	O
:	fd	O

Gestionar	vmn	B-FUN
,	fc	I-FUN
Supervisar	vmn	I-FUN
y	cc	I-FUN
controlar	vmn	I-FUN
las	det	I-FUN
actividades	nc	I-FUN
relacionadas	adj	I-FUN
a	sp	I-FUN
la	det	I-FUN
disciplina	nc	I-FUN
y	cc	I-FUN
estudios	nc	I-FUN
de	sp	I-FUN
procesos	nc	I-FUN
en	sp	I-FUN
la	det	I-FUN
ejecución	nc	I-FUN
del	sp	I-FUN
Estudio	nc	I-FUN
de	sp	I-FUN
Prefactibilidad	np	I-FUN
,	fc	O
a	sp	O
fin	nc	O
de	sp	O
cumplir	vmn	B-FUN
con	sp	I-FUN
el	det	I-FUN
Alcance	nc	I-FUN
,	fc	I-FUN
calidad	nc	I-FUN
,	fc	I-FUN
seguridad	nc	I-FUN
en	sp	I-FUN
esta	det	I-FUN
etapa	nc	I-FUN
y	cc	I-FUN
los	det	I-FUN
posteriores	adj	I-FUN
estudios	nc	I-FUN
de	sp	I-FUN
Factibilidad	nc	I-FUN
e	cc	I-FUN
Ingeniería	nc	I-FUN
Básica	adj	I-FUN
/	fh	I-FUN
Detalle	nc	I-FUN
que	pron	I-FUN
se	pron	I-FUN
requiera	vms	I-FUN
,	fc	O
apoyando	vmg	B-FUN
posteriormente	rg	I-FUN
en	sp	I-FUN
la	det	I-FUN
planificación	nc	I-FUN
y	cc	I-FUN
el	det	I-FUN
proceso	nc	I-FUN
de	sp	I-FUN
puesta	nc	I-FUN
en	sp	I-FUN
marcha	nc	I-FUN
.	fp	O

Funciones	nc	O
:	fd	O

*	fz	O
Implementar	vmn	B-FUN
la	det	I-FUN
política	nc	I-FUN
de	sp	I-FUN
seguridad	nc	I-FUN
,	fc	I-FUN
salud	nc	I-FUN
y	cc	I-FUN
medioambiente	nc	I-FUN
y	cc	O
asegurar	vmn	B-FUN
su	det	I-FUN
cumplimiento	nc	I-FUN
por	sp	I-FUN
todas	det	I-FUN
las	det	I-FUN
partes	nc	I-FUN
involucradas	adj	I-FUN
